_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
007.992510	+48.302029	007.992510	+48.302029	00315820+4818073	16.102	0.086	15.723	0.130	15.464	0.166	ABC	222	111	000	0	0
007.996368	+48.304279	007.996368	+48.304279	00315912+4818154	14.231	0.030	13.908	0.033	13.746	0.036	AAA	222	111	000	0	0
007.979436	+48.283806	007.979436	+48.283806	00315506+4817017	15.000	0.040	14.546	0.050	14.413	0.063	AAA	222	111	000	0	0
007.995882	+48.296223	007.995882	+48.296223	00315901+4817464	12.643	0.021	12.045	0.021	11.964	0.022	AAA	222	111	000	0	0
007.989737	+48.288940	007.989737	+48.288940	00315753+4817201	15.472	0.055	14.754	0.050	14.502	0.071	AAA	222	111	000	0	0
007.987861	+48.291767	007.987861	+48.291767	00315708+4817303	15.998	0.074	15.581	0.099	15.670	0.183	AAC	222	111	000	0	0
007.977831	+48.292744	007.977831	+48.292744	00315467+4817338	14.476	0.031	14.041	0.035	13.945	0.043	AAA	222	111	000	0	0
007.983215	+48.297764	007.983215	+48.297764	00315597+4817519	15.755	0.063	15.520	0.100	15.605	0.178	AAC	222	111	000	0	0
008.008491	+48.298740	008.008491	+48.298740	00320203+4817554	12.606	0.021	12.309	0.023	12.216	0.022	AAA	222	111	000	0	0
008.011783	+48.289070	008.011783	+48.289070	00320282+4817206	16.817	0.160	16.173	0.182	15.633		CCU	220	110	000	0	0
008.002415	+48.294289	008.002415	+48.294289	00320057+4817394	16.266	0.097	15.850	0.131	15.823	0.225	ABD	222	111	000	0	0
008.001626	+48.284348	008.001626	+48.284348	00320039+4817036	16.321	0.100	15.782	0.124	15.356	0.142	ABB	222	111	000	0	0
008.034399	+48.283737	008.034399	+48.283737	00320825+4817014	16.622	0.133	16.223	0.184	15.686	0.203	BCC	222	111	000	0	0
008.056022	+48.284729	008.056022	+48.284729	00321344+4817050	14.895	0.036	14.557	0.045	14.299	0.065	AAA	222	111	000	0	0
008.058718	+48.292885	008.058718	+48.292885	00321409+4817343	14.951	0.036	14.525	0.053	14.429	0.068	AAA	222	111	000	0	0
008.023881	+48.296753	008.023881	+48.296753	00320573+4817483	14.384	0.030	13.999	0.033	13.954	0.044	AAA	222	111	000	0	0
008.040480	+48.294018	008.040480	+48.294018	00320971+4817384	16.866	0.168	15.772	0.124	15.375		CBU	220	110	000	0	0
